delta,R,Z,p
28.01024136730189,0.014768456962821568,0.0002181073210627128,0.9997819164626098
28.858558474727285,0.03628346398478362,0.0013164897587350896,0.9986843764337544
29.732567681885552,0.06425133510189104,0.004128234062375495,0.9958802753821745
30.633047098734526,0.09396012628637668,0.008828505331751852,0.9912103514881525
31.56079840104069,0.12462256301508355,0.015530783212448468,0.9845891974667867
32.51664754409239,0.14948870027469882,0.022346871509818737,0.9779009702279648
33.5014454980285,0.1744151704136316,0.03042065167041615,0.97003739986085
34.51606900543724,0.19384167913815412,0.037574596571099086,0.9631225693998106
35.561421361899576,0.20923332536171282,0.04377858444192037,0.9571658654265902
36.63843322017219,0.22067370625061145,0.04869688463038113,0.952469794180688
37.74806341872584,0.2254210771472573,0.05081466202222971,0.9504548095816651
38.89129983537684,0.22702193254872596,0.05153895785815827,0.9497666483670822
40.069160266771554,0.22661868639653013,0.05135602902408885,0.9499404039646759
41.282693334507,0.22124686196672705,0.04895017393012396,0.9522285743239877
42.53297941869407,0.21439558540737028,0.04596546704216899,0.9550749431839841
43.82113161979472,0.20660343665393796,0.04268498003721775,0.9582131988128724
45.148296749589264,0.19773271498392803,0.03909822657491531,0.9616562443078396
46.5156563521561,0.19057719883866261,0.03631966871719114,0.9643319774400769
47.92442775577273,0.1819588876747653,0.03310903680383785,0.9674330680282404
49.37586515667471,0.174848084306652,0.030571852585706077,0.9698907404059269
50.87126073563724,0.1679197566360643,0.02819704466871505,0.9721967817336762
52.4119458083734,0.1615039894217978,0.02608353859915617,0.974253698419955
53.999292010773466,0.15566299347957202,0.024230967539021275,0.9760602454886109
55.63471252004026,0.1498862947948916,0.022465901367341147,0.9777845777420355
57.31966331280775,0.14235180811068118,0.020264037272380193,0.9799398984872668
59.055644461362995,0.1358426686028479,0.01845323061314316,0.9817159877729331
60.844201469125466,0.13052326912375245,0.017036323782751505,0.9831079737858759
62.68692664657253,0.12379092067836098,0.015324192042396255,0.984792625913649
64.58546052883628,0.11867467008022521,0.014083677318650298,0.9860150337166091
66.54149333623357,0.11177289097406819,0.01249317915670093,0.9875845366302772
68.55676647902968,0.10658851909098487,0.011361112402009243,0.9887031813224082
70.63307410777507,0.10202131918188508,0.01040834956761207,0.9896456298615003
72.77226471059575,0.09705547754369737,0.009419765721235141,0.9906244612935724
74.97624275885897,0.09276800652740509,0.008605903035068672,0.991431021748832
77.24697040267957,0.09255608394618743,0.008566628675453693,0.9914699603319527
79.5864692177763,0.09029367008614038,0.00815294685762476,0.9918801982756043
81.99682200523347,0.09067624590804249,0.008222181571975792,0.9918115281106132
84.48017464576995,0.09146914248477134,0.008366604026899399,0.9916682985979298
87.0387380101668,0.09384304658287483,0.008806517391955614,0.9912321464012981
89.67478992755353,0.0979380409056508,0.009591859856436926,0.9904539953021158
92.39067721330633,0.1021505171360783,0.010434728151168225,0.9896195247558713
95.1888177583628,0.10780047487843374,0.011620942384015821,0.9884463199641815
98.07170268181376,0.11758945925016479,0.013827280926746162,0.9862678768262627
101.0418985486883,0.12516886101660893,0.015667243768195158,0.9844548490445568
104.10204965490671,0.13414625906992458,0.01799521882245532,0.9821657282557998
107.25488038143507,0.14345163855514026,0.0205783726041546,0.9796319171613989
110.50319761973812,0.15428728246085985,0.023804565529157145,0.9764765282846388
113.84989327068897,0.16674793860957682,0.027804875030543193,0.9725781225640608
117.29794681916091,0.17732140351723938,0.03144288014532363,0.9690463066571378
120.85042798659305,0.19040354770920445,0.036253510980251286,0.964395777571776
124.51049946389152,0.2042088542758324,0.04170125616464815,0.9591562798011442
128.28141972709932,0.2180010879876115,0.04752447436378232,0.9535871344086017
132.1665459383412,0.23092912965157747,0.05332826292163506,0.9480687455800669
136.16933693462667,0.2447243455628379,0.05989000531115928,0.9418681283784157
140.29335630717173,0.2585808791615909,0.06686407106798126,0.9353223300617635
144.54227557398076,0.2736485132045738,0.07488350877907378,0.9278515665950605
148.9198774485131,0.28617595896349285,0.08189667948867473,0.9213671499037083
153.43005920734439,0.29940180275662054,0.0896414394939143,0.9142589436566413
158.07683615982086,0.3134790140696327,0.09826909226206894,0.9064049643720795
162.8643452227952,0.3286362257613856,0.10800176888268839,0.8976260086339233
167.79684860362707,0.34132250168935074,0.11650105015947682,0.8900291623036273
172.87873759472637,0.35404815627479264,0.12535009696157995,0.8821879971769743
