delta,Z,p
3140.6839832823994,284172.26678381924,0.0
3235.4085479174737,305457.17559839005,0.0
3332.9900517393826,326215.859539178,0.0
3433.514661430951,346509.52939098486,0.0
3537.071142504312,366434.0232239184,0.0
3643.750937682825,385825.9141184795,0.0
3753.648247647102,404932.6227855287,0.0
3866.8601142163625,423231.1481217863,0.0
3983.486506038523,441248.2798172414,0.0
4103.630406864811,458722.5475147028,0.0
4227.397906486737,475484.01558353327,0.0
4354.898294415825,492049.0494388244,0.0
4486.2441563886805,508225.364203997,0.0
4621.551473782782,523460.2070173914,0.0
4760.939726030657,538005.8664384859,0.0
4904.531996122968,552014.3838865256,0.0
5052.4550792935315,565152.1057413099,0.0
5204.8395949824235,578049.7231483845,0.0
5361.820102175891,589966.9871156417,0.0
5523.535218225034,601143.3755639654,0.0
5690.127741248011,612057.2633723115,0.0
5861.7447762240545,622517.9198287125,0.0
6038.537864890492,632952.8502682267,0.0
6220.663119557583,642672.3040350799,0.0
6408.281360959163,652671.0621723064,0.0
6601.558260261048,662649.9936804052,0.0
6800.66448535241,672347.9878406234,0.0
7005.7758515494515,682306.5605083042,0.0
7217.073476844236,691721.6501058752,0.0
7434.743941836046,701284.4637198296,0.0
7658.979454486254,710184.2606806919,0.0
7889.978019842377,718848.0539196864,0.0
8127.943614880937,727102.9049839783,0.0
8373.086368623808,734431.2824063658,0.0
8625.622747686957,741136.6212011236,0.0
8885.775747425285,747758.5151170542,0.0
9153.775088842653,753517.0346822498,0.0
9429.857421440705,758058.5424172194,0.0
9714.266532185826,762757.8861735733,0.0
